ALP2 - ACMV - BOQ,,,,,,,
,,,,,,,
ITEM,,DESCRIPTION,,UNIT,QTY, RATE  , SPECIFIC DIMENSION 
,,,,,,,
01.00.00,,PRELIMINARIES AND GENERAL CONDITIONS,,,,,
,,,,,,,
01.01.00,,"Compliance to the conditions of contract, main contract document, tender specification etc.
(1 Lot ~ Inclusive)",,,,,
,,,,,,,
01.02.00,,"Submission and liason to all authorities, obtaining approval from the authorities for the drawings, installations and compliance with all authorities requirements.",,Lot,1," 5,000.00 "," 5,000.00 "
,,,,,,,
01.03.00,,"Arrangements for all authority's inspections and testing, issuance of clearance letters, certificates and licenses.",,Lot,1," 5,000.00 "," 5,000.00 "
,,,,,,,
01.04.00,,Submission of shop drawings and materials to consultant's approval and material sample board before commencement of work at site.,,Lot,1," 3,000.00 "," 3,000.00 "
,,,,,,,
01.05.00,,"For compliance with the requirement for as-built drawings/data, Operational and Maintenance Instruction and Manual, 6 sets of hard cover bound documents of operation manuals, parts catalogues, testing and commissioning results, warranty and as built drawing and two softcopys in CD form.",,Lot,1," 3,000.00 "," 3,000.00 "
,,,,,,,
01.06.00,,"Performance Bond, Workmen compensation insurance or SOCSO.
(1 Lot ~ Inclusive)",,Lot,1," 15,000.00 "," 15,000.00 "
,,,,,,,
01.07.00,,Full time site supervisor for the duration of the project and liaison/coordination with other subcontractors.,,Lot,1," 40,000.00 "," 40,000.00 "
,,,,,,,
01.08.00,,"Testing, commissioning, balancing, running in period and taking over.",,Lot,1," 30,000.00 "," 30,000.00 "
,,,,,,,
01.09.00,,"Complete labelling, painting and finishing works to architect's/consultant's requirements.",,Lot,1," 10,000.00 "," 10,000.00 "
,,,,,,,
01.10.00,,Site clearing and cleanliness of site.,,Lot,1," 10,000.00 "," 10,000.00 "
,,,,,,,
01.11.00,,Cost for providing labour and material to conduct routine service and maintenance as per specification inclusive of monthly preventive inspection and all cost to replace defective material and workmenship during 24 months defect liability period.,,,,,
,,,,,,,
01.11.01,,Year 1,,Lot,1," 30,000.00 "," 30,000.00 "
,,,,,,,
01.11.02,,Year 2,,Lot,1," 30,000.00 "," 30,000.00 "
,,,,,,,
01.12.00,,"All necessary machineries such as boom lift, scissor lift, genset, temporary lighting etc for the completion of the work and system including JKKP, safety requirement and relevant authorities approval.",,Lot,1," 40,000.00 "," 40,000.00 "
,,,,,,,
01.13.00,,"Temporary electrical and water supply for the installation works, testing and commissioning. Sub-contractors are required to provide their own generator set.  
(1 Lot ~ Inclusive)",,Lot,1," 20,000.00 "," 20,000.00 "
,,,,,,,
01.14.00,,"Hot smoke test for smoke spill system includes tray with fuel, water bath, portable extinguisher, smoke generator and all necessary test apparatus to Bomba authority requirement.  
(1 Lot ~ Inclusive)",,Lot,1," 15,000.00 "," 15,000.00 "
,,,,,,,
01.15.00,,"Electrical panels testing and commisioning work done  by Suruhanjaya Tenaga registered competent person including form G and H submission.
(1 Lot ~ Inclusive)",,Lot,1," 10,000.00 "," 10,000.00 "
,,,,,,,
01.16.00,,"Perform pre-Bomba testing and conduct inspection and testing together with Bomba.
(1 Lot ~ Inclusive)",,Lot,1," 6,000.00 "," 6,000.00 "
,,,,,,,
01.17.00,,"Flat floor protection for all the installation works.
(1 Lot ~ Inclusive)",,Lot,1," 10,000.00 "," 10,000.00 "
,,,,,,,
,,Total 01.00.00 To Be Carried Forward To Summary of Tender Prices,,,,," 282,000.00 "
,,,,,,,
02.00.00,,AIR CONDITIONING SYSTEM,,,,,
,,,,,,,
02.01.00,,TO SUPPLY AND INSTALL the following air cooled split unit c/w necessary accessories as per specification as shown in drawings and tender documents .,,,,,
,,,,,,,
02.01.01,,"ACSU-F00-GH-01 & 02 (Type: Ceiling cassette, 9,500 btu/hr)",,Nos,2," 4,010.00 "," 8,020.00 "
02.01.02,,"ACSU-F00-SERVER-01 & 02 (Type: Ceiling cassette, 9,500 btu/hr)",,Nos,2," 4,010.00 "," 8,020.00 "
02.01.03,,"ACSU-M00-01 to 12 (Type: Ceiling cassette, 9,500 btu/hr)",,Nos,12," 4,010.00 "," 48,120.00 "
