ALP2-BMS-BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1,,,2,,,3,,,4,,,5,,,6,,,7,,
,,,,,, BASE COST / SELECTION ,,100%, SUBMISSION ,, NEXA CONTROL ,,, AZBIL ,,, SOLAR DISTRICT ,,, JOHNSON CONTROL ,,, OBERIX ,,, MIP ,,, NSI ,,
Item,,Description,,Unit,Qty, Rate , Amount ,, Rate , Amount , Rate , Amount , REMARK , Rate , Amount , REMARK , Rate , Amount , REMARK , Rate , Amount , REMARK , Rate , Amount , REMARK , Rate , Amount , REMARK , Rate , Amount , REMARK 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"BUILDING MANAGEMENT SYSTEM
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"BMS SERVICES
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.00,,"Preliminaries
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.01,,"Compliance to the conditions of contract, main contract document, tender specifications, Laws, By-Laws, Rules and Regulations
",,Lot,1,, -   ,100%, -   , -   , Inclusive , Inclusive ,, include , include ,,, inclusive ,,, Contract need to be reviewed by legal prior signing ,,, included ,," 3,000.00 "," 3,000.00 ",,, -   ,
1.02,,"Submission to all authorities, obtaining approval from the authorities for the drawings, installations and compliance with all authorities requirements.
",,Lot,1,, -   ,100%, -   , -   , Inclusive , Inclusive ,, include , include ,,, inclusive ,,, Included ,,, included ,," 4,500.00 "," 4,500.00 ",,, -   ,
1.03,,"Arrangements for all authority's inspections and testing, issuance of clearance letters, certificates and licenses.",,Lot,1,, -   ,100%, -   , -   , Inclusive , Inclusive ,, include , include ,,, inclusive ,,, Included ,,, included ,," 7,000.00 "," 7,000.00 ",,, -   ,
1.04,,Submission of Shop Drawings for approval before commencement of work at site and submission material sample board.,,Lot,1,, -   ,100%, -   , -   ," 20,000.00 "," 20,000.00 ",," 2,000.00 "," 2,000.00 ",," 8,000.00 "," 8,000.00 ",,, Included ,,, included ,," 6,000.00 "," 6,000.00 ",," 3,000.00 "," 3,000.00 ",
1.05,,"For compliance with the requirement for As-Built Drawings/Data, Operational and Maintenance Instruction and Manual, 5 sets of hard cover bound documents of operation manuals, parts catalogues, testing results and as-built drawings and two softcopys in CD form or external hard drive.",,Lot,1,, -   ,100%, -   , -   ," 2,000.00 "," 2,000.00 ",," 2,000.00 "," 2,000.00 ",,, inclusive ,,, Included ,,, included ,," 4,000.00 "," 4,000.00 ",," 3,000.00 "," 3,000.00 ",
1.06,,"Performance Bond, Workmen compensation, Subcontractor insurance or SOCSO",,Lot,1,, -   ,100%, -   , -   ," 6,000.00 "," 6,000.00 ",," 5,000.00 "," 5,000.00 ",,, inclusive ,,, Included ,,, included ,," 19,000.00 "," 19,000.00 ",," 2,500.00 "," 2,500.00 ",
1.07,,Full time site supervision for the duration of the project and liaison/coordination with other sub-contractors,,Lot,1,, -   ,100%, -   , -   ," 90,000.00 "," 90,000.00 ",," 25,000.00 "," 25,000.00 ",,, inclusive ,,, Included ,,, included ,," 75,000.00 "," 75,000.00 ",," 36,000.00 "," 36,000.00 ",
1.08,,"Site clearing and cleanliness of site at designated site, provide necessary signage at site for safety purposes when carrying out works. To clear out rubbish resulted from BMS work including rental of Roro Bin",,Lot,1,, -   ,100%, -   , -   , Inclusive , Inclusive ,, include , include ,,, inclusive ,,, Excluded ,,, included ,," 6,000.00 "," 6,000.00 ",," 1,500.00 "," 1,500.00 ",
1.09,,"All neccessary machineries such as mobile crane, boom lift, scissor lift, genset, temporary lighting, etc for the completion of the work and system including JKKP, safety requirements and relevant authorities approval.",,Lot,1,, -   ,100%, -   , -   ," 15,000.00 "," 15,000.00 ",, include , include ,,, inclusive ,,, Excluded ,,, excluded ,," 7,000.00 "," 7,000.00 ",," 40,000.00 "," 40,000.00 ",
1.10,,"Complete naming tagging, labelling, painting and finishing work to architect's / consultant's requirements.",,Lot,1,, -   ,100%, -   , -   , Inclusive , Inclusive ,, include , include ,,, inclusive ,,, Included ,,, included ,," 10,000.00 "," 10,000.00 ",," 1,200.00 "," 1,200.00 ",
1.11,,"To carry out Factory Acceptance Test (FAT) for BMS System (Bench Test) as per requirement stipulated in the tender document to client, main contractor and consultant's satisfaction",,Lot,1,, -   ,100%, -   , -   , N/A , N/A ,, Japan , Japan ,,, inclusive ,,, TBC ,,, included ,," 25,000.00 "," 25,000.00 ",," 73,000.00 "," 73,000.00 ",
1.12,,"To carry out Site Acceptance Test (SAT) for BMS System as per requirement stipulated in the tender document to client, main contractor and consultant's satisfaction",,Lot,1,, -   ,100%, -   , -   ," 60,000.00 "," 60,000.00 ",, Japan , Japan ,,, inclusive ,,, Included ,,, included ,," 4,000.00 "," 4,000.00 ",," 6,000.00 "," 6,000.00 ",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"BUILDING MANAGEMENT SYSTEM (Cont'd)
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"BMS SERVICES (Cont'd)
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Preliminaries (Cont'd)
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.13,,"Setting up and removal of Sub-Contractor' s Office, Workshop and temporary facilities",,Lot,1,, -   ,100%, -   , -   ," 5,000.00 "," 5,000.00 ",, Include , Include ,,, inclusive ,,, Excluded ,,, included ,, Included , Included ,," 4,000.00 "," 4,000.00 ",
1.14,,Comply to 2 years of Defects Liability Period and 2 years of Comprehensive Maintenance Period starting from the date of acceptance certificate issue by the owner / main contractor.,,Lot,1,, -   ,100%, -   , -   , Inclusive , Inclusive ,, Include , Include ,,, inclusive ,,, Included ,,, included ,, Included , Included ,," 12,000.00 "," 12,000.00 ",
1.15,,Comply to 2 years of warranty of all equipment starting from the date of acceptance certificate issue by the owner / main contractor.,,,,,,,,,,,, Include , Include ,,,,,, Included ,,, included ,,,,,, Inclusive ,
1.16,,To prepare delivery schedule incorporate with main contractor master programme.,,,,,,,,,,,,,,,,,,, Included ,,, included ,,,,,,,
1.17,,Provide two (2) classroom training sessions for each equipment for personnel designated by the Owner,,Lot,1,, -   ,100%, -   , -   ," 1,000.00 "," 1,000.00 ",, Include , Include ,," 2,000.00 "," 2,000.00 ",,, Included ,,, included ,, Included , Included ,, 600.00 , 600.00 ,
1.18,,To provide test script and documentation for testing and commissioning of BMS system,,Lot,1,, -   ,100%, -   , -   ," 12,000.00 "," 12,000.00 ",," 5,000.00 "," 5,000.00 ",," 1,000.00 "," 1,000.00 ",,, TBC ,,, included ,, Included , Included ,," 1,000.00 "," 1,000.00 ",
1.19,,"Make good all opening through wall/floors/beams with approved material, fire seals if necessary and method to be level sufficient for painting. Painting by others. Fire seal to be c/w Bomba certificate",,Lot,1,, -   ,100%, -   , -   , Inclusive , Inclusive ,, By Others , By Others ,,, inclusive ,,, Excluded ,,, included ,, Included , Included ,," 3,000.00 "," 3,000.00 ",
1.20,,Supply & install earthing on all steel pipes and equipment,,,,,,,,,,,,,,,,,,, Excluded ,,, included ,, Included , Included ,,,,
1.21,,Water and electricity consumption throughout the project inclusive of testing and commissioning of the system,,Lot,1,, -   ,100%, -   , -   , Inclusive , Inclusive ,, By Others , By Others ,,, inclusive ,,, Excluded ,,, included ,, Included , Included ,," 2,000.00 "," 2,000.00 ",
1.22,,Painting and labelling and all identification work,,Lot,1,, -   ,100%, -   , -   , Inclusive , Inclusive ,, Include , Include ,,, inclusive ,,, Included ,,, included ,, Included , Included ,," 2,000.00 "," 2,000.00 ",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,TOTAL FOR 1.0 PRELIMINARIES (RM),,,,, -   ,,, -   ,," 211,000.00 ",,," 39,000.00 ",,," 11,000.00 ",,," 828,500.00 ",,, -   ,,," 170,500.00 ",,," 190,800.00 ",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
