,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1,,,2,,,3,,,4,,,5,,,6,,
,,,,,,BASE COST,,100%,SUBMISSION,, ANTARA ,,, TECHNOLGENT ,,, CHAN WAI ,,, BOND ,,, SGME ,,, DAGANG JATI ,,
ITEM,DESCRIPTION,,QTY, Rate , Total Amount , Rate , Total Amount ,, Rate , Total Amount , RATE  , AMOUNT  , REMARK , RATE  , AMOUNT  , REMARK , RATE  , AMOUNT  , REMARK , RATE  , AMOUNT  , REMARK , RATE  , AMOUNT  , REMARK , RATE  , AMOUNT  , REMARK 
,,,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
01.00.00,,GENERAL CONDITIONS AND PRELIMINARIES,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
,,,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
01.01.00,,"Compliance to the conditions of contract, main contract document, tender specification etc.",1," 14,100.00 "," 14,100.00 "," 14,100.00 "," 14,100.00 ",,,," 20,000.00 "," 20,000.00 ",," 10,000.00 "," 10,000.00 ",," 1,000.00 "," 1,000.00 ",," 81,056.00 "," 81,056.00 ",,,,,,,
,,,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
01.02.00,,"Submission to all authorities, obtaining approval from the authorities for the drawings, installations and compliance with all authorities requirements.",1," 11,280.00 "," 11,280.00 "," 11,280.00 "," 11,280.00 ",,,," 16,000.00 "," 16,000.00 ",," 10,000.00 "," 10,000.00 ",," 12,000.00 "," 12,000.00 ",," 31,625.00 "," 31,625.00 ",,,,,,,
,,,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
01.03.00,,"Arrangements for all authority's inspections and testing, issuance of clearance letters, certificates and licenses.",1," 14,100.00 "," 14,100.00 "," 14,100.00 "," 14,100.00 ",,,," 20,000.00 "," 20,000.00 ",," 10,000.00 "," 10,000.00 ",," 10,000.00 "," 10,000.00 ",," 44,275.00 "," 44,275.00 ",,,,,,,
,,,,  ,  ,  ,  ,,,,,,,,,,,,,,,,,,,,,
