ALP2 - ELV - BOQ,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,1,,,2,,,3,,,4,,,5,,
,,,,,, BASE COST ,,100%, SUBMISSION ,, SKK ,,, NSI ,,, WINCOMM ,,, ACMALITE ,,, BASTION ,,
ITEM,,DESCRIPTION,,UNIT,QTY," RATE 
(RM) "," AMOUNT 
(RM) ",," RATE 
(RM) "," AMOUNT 
(RM) "," RATE 
(RM) "," AMOUNT 
(RM) ", REMARK ," RATE 
(RM) "," AMOUNT 
(RM) ", REMARK ," RATE 
(RM) "," AMOUNT 
(RM) ", REMARK ," RATE 
(RM) "," AMOUNT 
(RM) ", REMARK ," RATE 
(RM) "," AMOUNT 
(RM) ", REMARK 
,,,,,,,,,,,,,,,,,,,,,,,,,
01.00.00,,PRELIMINARIES AND GENERAL CONDITIONS,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
01.01.00,,"Compliance to the conditions of contract, main contract document, tender specification etc. ",,Lot,1,, -   ,100%, -   , -   , COMPLY , COMPLY ,, Included , Included ,, Inclusive , Inclusive ,," 2,000.00 "," 2,000.00 ",, inclusive , inclusive ,
,,,,,,,,,,,,,,,,,,,,,,,,,
01.02.00,,"Submission to all authorities, obtaining approval from the authorities for the drawings, installations and compliance with all authorities requirements.",,Lot,1,, -   ,100%, -   , -   , Inclusive , Inclusive ,," 2,000.00 "," 2,000.00 ",, Inclusive , Inclusive ,," 2,000.00 "," 2,000.00 ",," 1,000.00 "," 1,000.00 ",
,,,,,,,,,,,,,,,,,,,,,,,,,
01.03.00,,"Arrangements for all authority's inspections and testing, issuance of clearance letters, certificates and licenses.",,Lot,1,, -   ,100%, -   , -   , Inclusive , Inclusive ,," 2,000.00 "," 2,000.00 ",, Inclusive , Inclusive ,," 2,000.00 "," 2,000.00 ",," 1,000.00 "," 1,000.00 ",
,,,,,,,,,,,,,,,,,,,,,,,,,
01.04.00,,Submission of shop drawings to consultant's approval and material sample board before commencement of work at site.,,Lot,1,, -   ,100%, -   , -   ," 4,000.00 "," 4,000.00 ",," 3,000.00 "," 3,000.00 ",," 2,000.00 "," 2,000.00 ",," 4,000.00 "," 4,000.00 ",," 5,000.00 "," 5,000.00 ",
,,,,,,,,,,,,,,,,,,,,,,,,,
01.05.00,,"For compliance with the requirement for as-built drawings/data, Operational and Maintenance Instruction and Manual, 5 sets of hard cover bound documents of operation manuals, parts catalogues, testing results and as built drawing and two softcopys in CD form or USB thumbdrive.",,Lot,1,, -   ,100%, -   , -   ," 1,000.00 "," 1,000.00 ",," 1,000.00 "," 1,000.00 ",," 2,000.00 "," 2,000.00 ",," 4,000.00 "," 4,000.00 ",," 5,000.00 "," 5,000.00 ",
,,,,,,,,,,,,,,,,,,,,,,,,,
01.06.00,,"Performance Bond, Workmen compensation insurance or SOCSO.",,Lot,1,, -   ,100%, -   , -   ," 3,759.00 "," 3,759.00 ",," 1,500.00 "," 1,500.00 ",," 5,000.00 "," 5,000.00 ",," 4,000.00 "," 4,000.00 ",," 5,000.00 "," 5,000.00 ",
,,,,,,,,,,,,,,,,,,,,,,,,,
01.07.00,,Full time site supervisor for the duration of the project and liaison/coordination with other subcontractors.,,Lot,1,, -   ,100%, -   , -   ," 29,455.20 "," 29,455.20 ",," 24,000.00 "," 24,000.00 ",," 20,000.00 "," 20,000.00 ",," 60,000.00 "," 60,000.00 ",," 60,000.00 "," 60,000.00 ",
,,,,,,,,,,,,,,,,,,,,,,,,,
01.08.00,,"Complete labelling, painting and finishing works to architect's/consultant's requirements. ~ Inclusive",,Lot,1,, -   ,100%, -   , -   , Inclusive , Inclusive ,, Included , Included ,," 2,000.00 "," 2,000.00 ",," 1,000.00 "," 1,000.00 ",," 3,000.00 "," 3,000.00 ",
,,,,,,,,,,,,,,,,,,,,,,,,,
01.09.00,,Site clearing and cleanliness of site. ~ Inclusive,,Lot,1,, -   ,100%, -   , -   , Inclusive , Inclusive ,, Included , Included ,," 2,000.00 "," 2,000.00 ",," 1,000.00 "," 1,000.00 ",, inclusive , inclusive ,
,,,,,,,,,,,,,,,,,,,,,,,,,
01.10.00,,To carry out Service and Maintaining of all equipment and  system for 24 months Defects and Liability Period (DLP) after obtaining CPC from the SO. Scope of works and frequency as per specification.,,,,,,,,,,,, Included ,,,,,,,,,,,
01.10.01,,Cost for First Year,,Lot,1,, -   ,100%, -   , -   ," 20,984.40 "," 20,984.40 ",," 6,000.00 "," 6,000.00 ",," 4,000.00 "," 4,000.00 ",," 24,000.00 "," 24,000.00 ",," 10,000.00 "," 10,000.00 ",
01.10.02,,Cost for Second Year,,Lot,1,, -   ,100%, -   , -   ," 21,506.40 "," 21,506.40 ",," 6,000.00 "," 6,000.00 ",," 4,000.00 "," 4,000.00 ",," 24,000.00 "," 24,000.00 ",," 10,000.00 "," 10,000.00 ",
,,,,,,,,,,,,,,,,,,,,,,,,,
01.11.00,,Scissor lifts or scaffolding to perform the physical installation works due to high ceiling space.,,Lot,1,, -   ,100%, -   , -   ," 5,000.00 "," 5,000.00 ",," 70,000.00 "," 70,000.00 ",," 36,000.00 "," 36,000.00 ", 6000/MONTH ," 6,000.00 "," 6,000.00 ",, inclusive , inclusive ,
,,,,,,,,,,,,,,,,,,,,,,,,,
