ALP2 - HDD WORK,,,,,,,,,,,,,,,
,,,,,,BASE COST,,,SUBMISSION,,BGN,,,,
ITEM,,DESCRIPTION,,UNIT,QTY,RATE ,AMOUNT ,100%,RATE ,AMOUNT ,RATE ,AMOUNT ,,,
,,,,,,,,,,,,,,,
01.00.00,,PRELIMINARIES,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
01.01.00,,"Compliance to conditions of contract

Compliance to the conditions of contract, main contract document, tender specification etc.",,LS,1," 5,000.00 "," 5,000.00 ",," 5,000.00 "," 5,000.00 "," 5,000.00 "," 5,000.00 ",,,
,,,,,,,,,,,,,,,
01.02.00,,"Mobilization and demobilization 

Mobilization and demobilization of HDD and open cut machinery and all associated accessories, inclusive of temporary electricity supply, water supply, cleaning of rubbish, security and pipe storage.",,LS,1," 20,000.00 "," 20,000.00 ",," 20,000.00 "," 20,000.00 "," 20,000.00 "," 20,000.00 ",,,
,,,,,,,,,,,,,,,
01.03.00,,"Traffic Management

To provide traffic management and control with procedures and protocols for site access, traffic routing c/w obtaining approved Traffic Management Plan (TMP) as per latest local authority requirements and all related documents, plan, signature, labour and etc. All drawings to be endorsed by a Traffic Management Officer or qualified person.",,,,,,,,,,,,,
,,,,,,,,,,,,,,,
01.03.01,,From PMU Bandar Botanik to SSU ALP2,,LS,1,, -   ,, -   , -   ,, By KUSEL ,,,
,,,,,,,,,,,,,,,
01.03.02,,From PMU PANDAMARAN to SSU ALP2 ,,LS,1,, -   ,, -   , -   ,, By KUSEL ,,,
,,,,,,,,,,,,,,,
01.03.03,,Traffic Board Renting from Kusel.,,LS,1,, -   ,, -   , -   ,, By KUSEL ,,,
,,,,,,,,,,,,,,,
01.04.00,,"Shop Drawing

The subcontractor shall submit detailed shop drawings prior to commencement of the works. No work shall commence unless the drawings have been approved or written instructions have been issued by relevant authorities. All shop drawings as are required for the uninterrupted construction of the works.",,LS,1," 10,000.00 "," 10,000.00 ",," 10,000.00 "," 10,000.00 "," 10,000.00 "," 10,000.00 ",,,
,,,,,,,,,,,,,,,
01.05.00,,"As-Built Drawings

The subcontractor shall keep accurate records of the actual construction and this information shall be supplied to the Main Sub-contractor in five (5) sets of A1 paper prints, five (5) sets of A3 paper prints and five (5) sets of DVD-RW containing all the As-Built Drawings in electronic and autocad file format, hardbound documents of operation manuals, parts catalogues, testing and commissioning report  and shall form the basis of an as-built record of the finally constructed works.",,LS,1," 10,000.00 "," 10,000.00 ",," 10,000.00 "," 10,000.00 "," 10,000.00 "," 10,000.00 ",,,
,,,,,,,,,,,,,,,
01.06.00,,"TNB registered panel contractor

The Subcontractor shall be TNB registered panel contractor for TNB HDD work and solely responsible for all necessary safety measures including compliance with authority's requirement in connection with construction means, methods, techniques, sequences and procedures.",,LS,1," 10,000.00 "," 10,000.00 ",," 10,000.00 "," 10,000.00 "," 10,000.00 "," 10,000.00 ",,,
,,,,,,,,,,,,,,,
01.07.00,,"Site Progress

The subcontractor shall provide six (6) sets of site progress colour photographs in postcard size together with the site progress report. Each set to consist of at least ten (10) different copies of the photographs taken from the various angles or spots as directed by the Main Contractor.",,LS,1," 5,000.00 "," 5,000.00 ",," 5,000.00 "," 5,000.00 "," 5,000.00 "," 5,000.00 ",,,
,,,,,,,,,,,,,,,
01.08.00,,"Supervision

Supervision by field engineer and technician including all time traffic.",,LS,1," 25,000.00 "," 25,000.00 ",," 25,000.00 "," 25,000.00 "," 25,000.00 "," 25,000.00 ",,,
,,,,,,,,,,,,,,,
01.09.00,,Workmen Insurance & Contractor뭩 All Risks Insurance Policy,,LS,1," 50,000.00 "," 50,000.00 ",," 50,000.00 "," 50,000.00 "," 50,000.00 "," 50,000.00 ",,,
,,,,,,,,,,,,,,,
01.10.00,,CIDB levy.,,LS,1,, -   ,, -   , -   ,, Inclusive ,,,
,,,,,,,,,,,,,,,
01.11.00,,"Utility Mapping Detection (UDM)

To provide and conduct the utility mapping detection (UDM) for 6 meter from road Right of Way (ROW) on one side of road along the TNB incoming cable routing c/w necessary radio detection, ltrasonic method or any other necessary techniques, method of statement, HDD drilling profile, HDD passive live cable tracing and necessary compliance to all related autority requirements and standards. UDM contractor to be TNB and local council approved vendor or contractor.",,,,,,,,,,,,,
,,,,,,,,,,,,,,,
01.11.01,,From PMU Bandar Botanik to SSU ALP2,,LS,1,, -   ,, -   , -   ,, By KUSEL ,,,
,,,,,,,,,,,,,,,
01.11.02,,From PMU PANDAMARAN to SSU ALP2 ,,LS,1,, -   ,, -   , -   ,, By KUSEL ,,,
,,,,,,,,,,,,,,,
01.11.03,,Utility mapping charges by Kusel,,LS,1,, -   ,, -   , -   ,, By KUSEL ,,,
,,,,,,,,,,,,,,,
01.12.00,,"Liaison with all relevant authorities

Liaison with all relevant authorities for permit approval, prepare all necessary documentation for all relevant submission and wayleave approval (downpayment, bank draft and bank guarantee by client) to relevant authorities to obtain work and permit approval c/w work permit fee/wang hangus, engage own consultant (where necessary) for TNB cable laying approval and submissions (not limited to below) :-",,,,,,,,,, any payment to authorities (refundable and non refundable) will be borne by client ,,,
,,,,,,,,,,,,,,,
01.12.01,,Application to Pengurus Kawasan (TNB).,,LS,1," 5,000.00 "," 5,000.00 ",," 5,000.00 "," 5,000.00 "," 5,000.00 "," 5,000.00 ",,,
,,,,,,,,,,,,,,,
01.12.02,,Permit application to Majlis Bandaraya Shah Alam (MBSA) and Majlis Perbandaran Klang (MPK).,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
01.12.02.01,,From PMU Bandar Botanik to SSU ALP2,,LS,1," 3,000.00 "," 3,000.00 ",," 3,000.00 "," 3,000.00 "," 3,000.00 "," 3,000.00 ",,,
,,,,,,,,,,,,,,,
01.12.02.02,,From PMU PANDAMARAN to SSU ALP2 ,,LS,1," 3,000.00 "," 3,000.00 ",," 3,000.00 "," 3,000.00 "," 3,000.00 "," 3,000.00 ",,,
,,,,,,,,,,,,,,,
01.12.03,,Permit application to Lembaga Lebuhraya Malaysia (LLM).,,LS,1," 10,000.00 "," 10,000.00 ",," 10,000.00 "," 10,000.00 "," 10,000.00 "," 10,000.00 ",,,
,,,,,,,,,,,,,,,
01.12.04,,"Preparation drawing for TNB, MBSA, MPK, PLUS and LLM approval.",,LS,1," 20,000.00 "," 20,000.00 ",," 20,000.00 "," 20,000.00 "," 20,000.00 "," 20,000.00 ",,,
,,,,,,,,,,,,,,,
01.12.05,,"Liaise with all others utilities provider (i.e. Air Selangor, IWK, Telco Companies, Gas Malaysia, etc.)",,LS,1," 20,000.00 "," 20,000.00 ",," 20,000.00 "," 20,000.00 "," 20,000.00 "," 20,000.00 ",,,
,,,,,,,,,,,,,,,
01.12.06,,Liaise with Jabatan Pengairan dan Salinan (JPS).,,LS,1," 3,000.00 "," 3,000.00 ",," 3,000.00 "," 3,000.00 "," 3,000.00 "," 3,000.00 ",,,
,,,,,,,,,,,,,,,
01.12.07,,TNB permit to work in TNB PPU and PMU compound. ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
01.12.07.01,,PMU Bandar Botanik,,LS,1," 10,000.00 "," 10,000.00 ",," 10,000.00 "," 10,000.00 "," 10,000.00 "," 10,000.00 ",,,
,,,,,,,,,,,,,,,
01.12.07.02,,PMU PANDAMARAN,,LS,1," 30,000.00 "," 30,000.00 ",," 30,000.00 "," 30,000.00 "," 30,000.00 "," 30,000.00 ",,,
,,,,,,,,,,,,,,,
01.12.08,,Assist to follow up and coordinate with TNB for the full completion of cable laying and HDD works  to TNB requirements.,,LS,1," 5,000.00 "," 5,000.00 ",," 5,000.00 "," 5,000.00 "," 5,000.00 "," 5,000.00 ",,,
,,,,,,,,,,,,,,,
01.12.09,,Assist to follow up and coordinate with TNB to energize TNB 33 KV SSU.,,LS,1," 15,000.00 "," 15,000.00 ",," 15,000.00 "," 15,000.00 "," 15,000.00 "," 15,000.00 ",,,
,,,,,,,,,,,,,,,
01.12.10,,Liaison with private land owner or developer.,,LS,1," 15,000.00 "," 15,000.00 ",," 15,000.00 "," 15,000.00 "," 15,000.00 "," 15,000.00 ",,,
,,,,,,,,,,,,,,,
01.12.11,,Permit application to KESAS (including engagement of panel geotechnical consultant and check consultant recommended by KESAS).,,LS,1," 10,000.00 "," 10,000.00 ",," 10,000.00 "," 10,000.00 "," 10,000.00 "," 10,000.00 ",,,
,,,,,,,,,,,,,,,
01.13.00,,"All testing and commissioning to be agreed by all relevant authories and the results to be forwarded to all relevant authorities for their approval, acceptance and handover the HDD complete with ductwork to TNB and obtain certificate of acceptance (COA) from TNB. ",,LS,1," 20,000.00 "," 20,000.00 ",," 20,000.00 "," 20,000.00 "," 20,000.00 "," 20,000.00 ",,,
,,,,,,,,,,,,,,,
01.14.00,,"Liaison and coordination with TNB on cabling work in order to energize the TNB substation for the following scope:

a) To include the permit and liaison with TNB for cable laying work including monitoring of TNB cable laying work and to inform and ensure TNB to make good of the road shall there be any damages due to TNB work.

b) To obtain all work, access and permit approval from PBT (relevant local council), LLM, PLUS, all relevant utilities service provider, private land developer and TNB including access to PPU and PMU.

c) To include liaison with TNB on cabling work in order to energize the substation.",,LS,1," 30,000.00 "," 30,000.00 ",," 30,000.00 "," 30,000.00 "," 30,000.00 "," 30,000.00 ",,,
,,,,,, laison only ,,,,, liason only ,,,,
01.15.00,,Piloting identification of existing services at the working area of Horizontal Directional Drilling (HDD) and open trenching works for preparing entry and exit pit.,,LS,1," 20,000.00 "," 20,000.00 ",," 20,000.00 "," 20,000.00 "," 20,000.00 "," 20,000.00 ",,,
,,,,,,,,,,,,,,,
01.16.00,,"Compliance to the scope of works and items stated in ""Senarai Semak Langkah Kawalan Kerja HDD TNB 140819"".",,LS,1," 3,000.00 "," 3,000.00 ",," 3,000.00 "," 3,000.00 "," 3,000.00 "," 3,000.00 ",,,
,,,,,,,,,,,,,,,
01.17.00,,Weekly progress report submission to TNB.,,LS,1," 3,000.00 "," 3,000.00 ",," 3,000.00 "," 3,000.00 "," 3,000.00 "," 3,000.00 ",,,
,,,,,,,,,,,,,,,
01.18.00,,Submission to TNB for HDD profile as built after work done and all necessary document during handover complete with sign-off by TNB. ,,LS,1," 5,000.00 "," 5,000.00 ",," 5,000.00 "," 5,000.00 "," 5,000.00 "," 5,000.00 ",,,
,,,,,,,,,,,,,,,
01.19.00,,Full compliance to TNB latest HDD requirement including Perkeliling Bil A06/2021-Penguatkuasaan Gyroscope Mapping.,,LS,1," 50,000.00 "," 50,000.00 ",," 50,000.00 "," 50,000.00 "," 50,000.00 "," 50,000.00 ",,,
,,,,,,,,,,,,,,,
,,Total 01.00.00 To Be Carried Forward To Summary of Tender Prices,,,,," 415,000.00 ",,," 415,000.00 ",," 415,000.00 ",,,
,,,,,,,,,,,,,,,
