Item_Code,Unit_Rate_mean,Unit_Rate_std,Unit_Rate_min,Unit_Rate_max,Total_Amount_mean,Total_Amount_std,cv
01.01,15.375,0.6238322424070961,14.8,16.2,15375.0,623.8322424070967,0.04057445479070544
01.02,44.875,2.322893310794393,42.5,48.0,22437.5,1161.4466553971965,0.05176363923775806
01.03,35.0,1.8708286933869713,33.0,37.5,7000.0,374.1657386773942,0.05345224838248489
02.01,280.875,6.4339593823192,275.0,290.0,84262.5,1930.1878146957617,0.02290684248266738
02.02,24.625,1.1086778913041728,23.5,26.0,19700.0,886.9423130433379,0.04502245243874813
02.03,4.475,0.17078251276599335,4.3,4.7,67125.0,2561.7376914898996,0.03816369000357393
03.01,54.75,2.5,52.0,58.0,32850.0,1500.0,0.045662100456621
03.02,18.075,0.6499999999999999,17.5,19.0,21690.0,780.0,0.035961272475795295
03.03,12.075,0.6499999999999999,11.5,13.0,14490.0,780.0,0.05383022774327122
04.01,74.625,2.5617376914898995,72.0,78.0,29850.0,1024.6950765959598,0.03432814326954639
04.02,65.125,2.096624270901522,63.0,68.0,19537.5,628.9872812704563,0.03219384677008095
04.03,350.0,10.80123449734643,340.0,365.0,8750.0,270.030862433661,0.03086066999241837
05.01,846.25,25.617376914898998,820.0,880.0,25387.5,768.5213074469699,0.03027164184921595
05.02,548.75,16.520189667999176,530.0,570.0,21950.0,660.8075867199669,0.030105129235533806
05.03,119.5,4.203173404306164,115.0,125.0,3585.0,126.09520212918491,0.035172999199214766
06.01,8.4625,0.2561737691489906,8.2,8.8,16925.0,512.3475382979799,0.030271641849216022
06.02,180.875,6.433959382319208,175.0,190.0,9043.75,321.6979691159601,0.03557130273569707
06.03,44.75,1.707825127659933,43.0,47.0,2685.0,102.46950765959599,0.03816369000357392
07.01,22.0,1.080123449734643,21.0,23.5,17600.0,864.0987597877149,0.049096520442483776
07.02,280.0,10.80123449734643,270.0,295.0,9800.0,378.043207407125,0.038575837490522964
07.03,38.0,1.471960144387975,36.5,40.0,11400.0,441.5880433163923,0.03873579327336776
