Item_Code,Description,Bidder,Unit_Rate,Total_Amount
01.01,Site Clearance,Bidder_B,14.8,14800.0
01.02,Excavation Works,Bidder_B,42.5,21250.0
01.03,Site Fencing,Bidder_B,33.0,6600.0
02.01,Concrete Grade 30,Bidder_B,275.0,82500.0
02.02,Formwork,Bidder_B,23.5,18800.0
02.03,Reinforcement Steel,Bidder_B,4.3,64500.0
03.01,Brickwork,Bidder_B,52.0,31200.0
03.02,Plastering,Bidder_B,17.5,21000.0
03.03,Painting,Bidder_B,11.5,13800.0
04.01,Floor Tiles,Bidder_B,72.0,28800.0
04.02,Wall Tiles,Bidder_B,63.0,18900.0
04.03,Sanitary Fittings,Bidder_B,340.0,8500.0
05.01,Doors,Bidder_B,820.0,24600.0
05.02,Windows,Bidder_B,530.0,21200.0
05.03,Ironmongery,Bidder_B,115.0,3450.0
06.01,Electrical Wiring,Bidder_B,8.2,16400.0
06.02,Light Fixtures,Bidder_B,175.0,8750.0
06.03,Power Outlets,Bidder_B,43.0,2580.0
07.01,Plumbing Pipes,Bidder_B,21.0,16800.0
07.02,Water Fixtures,Bidder_B,270.0,9450.0
07.03,Drainage Works,Bidder_B,36.5,10950.0
